stationId,utc_time,hour,PM2.5,PM10,NO2,CO,O3,SO2
aotizhongxin_aq,2018-05-06 00:00:00,0,67.0,190.0,60.0,0.6,16.0,4.0
aotizhongxin_aq,2018-05-06 01:00:00,1,76.0,198.0,52.0,0.5,36.0,4.0
aotizhongxin_aq,2018-05-06 02:00:00,2,91.0,181.0,50.0,0.5,53.0,4.0
aotizhongxin_aq,2018-05-06 03:00:00,3,122.0,213.0,47.0,0.5,76.0,4.0
aotizhongxin_aq,2018-05-06 04:00:00,4,96.0,216.0,28.0,0.5,119.0,4.0
aotizhongxin_aq,2018-05-06 05:00:00,5,87.0,150.0,18.0,0.4,146.0,2.0
aotizhongxin_aq,2018-05-06 06:00:00,6,62.0,130.0,13.0,0.3,145.0,2.0
aotizhongxin_aq,2018-05-06 07:00:00,7,74.0,169.0,16.0,0.3,161.0,2.0
aotizhongxin_aq,2018-05-06 08:00:00,8,75.0,164.0,18.0,0.4,168.0,2.0
aotizhongxin_aq,2018-05-06 09:00:00,9,65.0,187.0,19.0,0.4,168.0,3.0
aotizhongxin_aq,2018-05-06 10:00:00,10,65.0,173.0,23.0,0.5,162.0,3.0
aotizhongxin_aq,2018-05-06 11:00:00,11,57.0,146.0,24.0,0.5,147.0,6.0
aotizhongxin_aq,2018-05-06 12:00:00,12,54.0,160.0,32.0,0.5,130.0,7.0
aotizhongxin_aq,2018-05-06 13:00:00,13,51.0,169.0,39.0,0.5,116.0,4.0
aotizhongxin_aq,2018-05-06 14:00:00,14,49.0,181.0,50.0,0.6,92.0,4.0
aotizhongxin_aq,2018-05-06 15:00:00,15,50.0,193.0,53.0,0.6,77.0,5.0
aotizhongxin_aq,2018-05-06 16:00:00,16,46.0,159.0,65.0,0.5,55.0,5.0
aotizhongxin_aq,2018-05-06 17:00:00,17,48.0,156.0,67.0,0.5,48.0,5.0
aotizhongxin_aq,2018-05-06 18:00:00,18,52.0,179.0,91.0,0.5,15.0,4.0
aotizhongxin_aq,2018-05-06 19:00:00,19,52.0,118.0,113.0,0.6,2.0,4.0
aotizhongxin_aq,2018-05-06 20:00:00,20,54.0,155.0,115.0,0.7,2.0,4.0
aotizhongxin_aq,2018-05-06 21:00:00,21,50.0,142.0,103.0,0.6,2.0,4.0
aotizhongxin_aq,2018-05-06 22:00:00,22,47.0,113.0,86.0,0.5,5.0,2.0
aotizhongxin_aq,2018-05-06 23:00:00,23,41.0,107.0,71.0,0.6,21.0,2.0
badaling_aq,2018-05-06 00:00:00,0,66.0,230.0,52.0,0.4,26.0,3.0
badaling_aq,2018-05-06 01:00:00,1,86.0,229.0,46.0,0.3,34.0,6.0
badaling_aq,2018-05-06 02:00:00,2,70.0,237.0,42.0,0.3,41.0,5.0
badaling_aq,2018-05-06 03:00:00,3,77.0,175.0,29.0,0.4,65.0,6.0
badaling_aq,2018-05-06 04:00:00,4,66.0,94.0,19.0,0.4,83.0,7.0
badaling_aq,2018-05-06 05:00:00,5,51.0,98.0,13.0,0.3,92.0,3.0
badaling_aq,2018-05-06 06:00:00,6,45.0,93.0,13.0,0.2,96.0,3.0
badaling_aq,2018-05-06 07:00:00,7,42.0,101.0,16.0,0.3,99.0,4.0
badaling_aq,2018-05-06 08:00:00,8,50.0,97.0,17.0,0.3,105.0,3.0
badaling_aq,2018-05-06 09:00:00,9,24.0,152.0,20.0,0.3,118.0,3.0
badaling_aq,2018-05-06 10:00:00,10,,,,,,
badaling_aq,2018-05-06 11:00:00,11,,6.0,43.0,0.6,123.0,3.0
badaling_aq,2018-05-06 12:00:00,12,40.0,243.0,43.0,0.5,121.0,3.0
badaling_aq,2018-05-06 13:00:00,13,57.0,235.0,27.0,0.5,128.0,3.0
badaling_aq,2018-05-06 14:00:00,14,52.0,222.0,89.0,0.5,63.0,3.0
badaling_aq,2018-05-06 15:00:00,15,54.0,229.0,122.0,0.6,19.0,3.0
badaling_aq,2018-05-06 16:00:00,16,49.0,216.0,98.0,0.5,33.0,2.0
badaling_aq,2018-05-06 17:00:00,17,46.0,189.0,108.0,0.5,20.0,3.0
badaling_aq,2018-05-06 18:00:00,18,41.0,163.0,102.0,0.6,21.0,3.0
badaling_aq,2018-05-06 19:00:00,19,45.0,165.0,104.0,0.5,15.0,3.0
badaling_aq,2018-05-06 20:00:00,20,39.0,143.0,97.0,0.5,21.0,3.0
badaling_aq,2018-05-06 21:00:00,21,43.0,180.0,120.0,0.7,2.0,5.0
badaling_aq,2018-05-06 22:00:00,22,40.0,179.0,93.0,0.6,14.0,2.0
badaling_aq,2018-05-06 23:00:00,23,38.0,171.0,79.0,0.6,27.0,2.0
beibuxinqu_aq,2018-05-06 00:00:00,0,62.0,240.0,58.0,0.6,10.0,2.0
beibuxinqu_aq,2018-05-06 01:00:00,1,61.0,262.0,61.0,0.6,18.0,2.0
beibuxinqu_aq,2018-05-06 02:00:00,2,69.0,293.0,73.0,0.6,28.0,3.0
beibuxinqu_aq,2018-05-06 03:00:00,3,70.0,311.0,44.0,0.6,70.0,5.0
beibuxinqu_aq,2018-05-06 04:00:00,4,63.0,227.0,27.0,0.5,98.0,4.0
beibuxinqu_aq,2018-05-06 05:00:00,5,55.0,204.0,14.0,0.4,137.0,3.0
beibuxinqu_aq,2018-05-06 06:00:00,6,49.0,227.0,14.0,0.4,143.0,3.0
beibuxinqu_aq,2018-05-06 07:00:00,7,57.0,242.0,17.0,0.5,147.0,4.0
beibuxinqu_aq,2018-05-06 08:00:00,8,56.0,236.0,17.0,0.5,147.0,4.0
beibuxinqu_aq,2018-05-06 09:00:00,9,53.0,254.0,14.0,0.5,146.0,4.0
